,Gene A,Gene B,Correlation
2675,SUPT6H,INTS4,0.9194010262918277
13628,ENY2,MED6,0.9193333166402883
29324,EPC1,ARID4A,0.9193127438240013
7182,INTS8,EPC1,0.9193114788338387
18323,BAF250B,AFF4,0.9193052362607628
3816,ATXN7,MED12,0.9192830707464353
22315,MED26,MED16,0.9192588288464923
21365,POLR2B,ARID2,0.9192136337638928
2456,SF3B3,CCNT1,0.9191564364340886
1227,INTS10,MED23,0.9191344863162396
12923,TAF5L,AFF4,0.9190945558023048
2493,SF3B3,SUPT16H,0.9190329076185415
7528,SMARCE1,MED13,0.9190141954096294
4256,SSRP1,CCNT1,0.9189985681615453
2718,NCOA6,KAT5,0.9188900599251827
1956,ERCC3,MED24,0.9188537630548453
12215,TRIM28,INTS4,0.918825384696436
22297,MED26,MED15,0.9186593710851474
1901,ERCC3,BAF250B,0.9186495677754357
24811,MLLT10,CDK13,0.9185855579859689
25534,SUPT7L,SUPT5H,0.9185660383397133
2668,SUPT6H,MED13,0.9184926233916704
12753,HUWE1,SUPT16H,0.9184427470340766
2745,NCOA6,ARID4B,0.9184251791938326
6519,MED12,INTS8,0.9184205973345629
2847,NCOA6,MED23,0.9182747157806398
13469,CDK12,GTF2E2,0.9182126314306361
23393,BRD9,SMARCC2,0.9181968537380532
2627,SUPT6H,MED13L,0.9181945757626979
1734,NELFA,TRRAP,0.9179371520426943
1947,ERCC3,MED23,0.9179226311163114
13419,CDK12,KMT2D,0.9179216902828133
22273,MED26,KMT2B,0.917904105236285
5019,SMARCD2,EP300,0.9178947867440778
12756,HUWE1,MED24,0.9178840980068776
11780,BAF60A,EP400,0.917783981363042
2859,NCOA6,EP300,0.9176417251268575
910,INTS1,ERCC3,0.9176055726703163
13081,CHD1,ELL,0.9175875746442194
2407,SF3B3,TRIM28,0.9175806513031274
13418,CDK12,NCOA3,0.9175446346946909
22643,ARID2,AFF4,0.9175344922339506
5104,WDR61,SMARCAD1,0.9174467360689468
9525,BAF180,ARID1A,0.9174339170935334
8015,SUPT20H,MED1,0.917425020788406
17265,MED1,ARID1A,0.9174012108599766
3284,KAT5,SUPT20H,0.9172421345158551
19411,MED13L,CDK13,0.9171485748899181
6605,MED12,ARID2,0.9171337676289866
8413,SETD1B,KMT2B,0.9171212749281613
16907,BCL7C,MED4,0.9170751448846525
11278,SETD1A,POLR2B,0.9170497532675429
1870,ERCC3,HUWE1,0.9170231096204078
8525,MED22,BAF60A,0.9170210930068157
2439,SF3B3,KMT2D,0.9169929880543994
1665,NELFA,ARID4B,0.9166582647714242
8961,CCNT2,SUPT7L,0.9166169903345038
13643,ENY2,AFF4,0.9165446099513571
23361,BRD9,SUPT7L,0.9165229050813988
21031,CCNT1,CDK13,0.9164838767840755
24102,KMT2B,EPC1,0.9163976673009373
4239,SSRP1,KMT2D,0.9163766261869453
11864,BAF60A,ARID4A,0.9163271211896336
14552,EP400,NELFCD,0.9162512975224336
4248,SSRP1,ELOA,0.9162303929304417
9527,BAF180,MED4,0.9161846307561266
14556,EP400,MED24,0.9160899138474593
17955,KMT2D,MED14,0.9160552589706424
27893,SUPT5H,SMARCC2,0.916040840319875
2454,SF3B3,TRRAP,0.9160220944180836
17921,KMT2D,BAF250B,0.9159695724984073
3458,GTF2H1,MED17,0.9159553188619236
24451,MED14,CDK13,0.9159013408347545
27344,CDK13,ARID4A,0.9158813706334087
4202,SSRP1,SETD1A,0.9158519314451294
17433,MED28,SUPT16H,0.9157801280235995
2487,SF3B3,MED23,0.9156658117507523
5818,SGF29,CREBBP,0.9156295494850073
5290,POLR2C,HUWE1,0.9156255608121514
17403,MED28,MED26,0.9155849912552844
19378,MED13L,POLR2B,0.9155626399150839
9467,BAF180,MED13L,0.9155486324557404
3399,KAT5,EP300,0.9155335204346173
5893,SGF29,KMT2B,0.9154217980496491
8071,SUPT20H,CDK13,0.9154113230506278
7517,SMARCE1,MLLT10,0.9153596083548143
3587,GTF2H1,MED4,0.9153304678664955
8262,ARID4B,EPC1,0.9153065692720486
5363,POLR2C,AFF4,0.9152409065109447
18141,KMT2A,SUPT7L,0.9152368297144624
7127,INTS8,MED13L,0.9152301784357485
4241,SSRP1,BAF250B,0.915198342611593
1774,NELFA,SUPT5H,0.9151473557692308
6524,MED12,SUPT20H,0.9151059419568398
1793,NELFA,SMARCC2,0.9150696397696834
21015,CCNT1,MED14,0.9150511898799024
6887,MED17,MED22,0.9150235244520082
24465,MED14,ARID1A,0.914988584214617
21391,POLR2B,CDK13,0.9149852618241413
11244,SETD1A,POLR2H,0.9148170614035419
1772,NELFA,NELFCD,0.914741328436866
474,SMARCB1,TRRAP,0.9146380699962003
3443,GTF2H1,SSRP1,0.9145734248190729
3136,CTR9,INTS5,0.9145319921076935
1773,NELFA,SUPT16H,0.9145113016313133
9821,BPTF,BAF250B,0.9143961283942624
1915,ERCC3,INTS2,0.9143303078929811
8945,CCNT2,ARID2,0.9142796678492089
4210,SSRP1,HUWE1,0.9142699191559068
369,SMARCB1,NELFA,0.9142480530957338
375,SMARCB1,NCOA6,0.914198137295526
27332,CDK13,NELFCD,0.9141604989636024
2596,SUPT6H,INTS5,0.914112080112933
23206,MED6,ASH2L,0.9140566126352103
19413,MED13L,SUPT16H,0.9139961978472199
6715,MED19,ERCC2,0.9139952765919245
11673,SMARCAD1,SUPT16H,0.9139889535219156
12743,HUWE1,AFF4,0.9139022970767763
