UniprotID,Bgee,GeneID,Gene Names,GTEXGeneCode
Q86YW9,ENSG00000144893,116931,"['MED12L', 'KIAA1635', 'TNRC11L', 'TRALP', 'TRALPUSH', 'PRO0314']",ENSG00000144893.12
Q8IXH7,ENSG00000101158,51497,"['NELFCD', 'NELFD', 'TH1', 'TH1L', 'HSPC130']",ENSG00000101158.13
Q8N201,ENSG00000164880,26173,"['INTS1', 'KIAA1440', 'UNQ1821/PRO3434']",ENSG00000164880.15
Q8N7H5,ENSG00000006712,54623,"['PAF1', 'PD2']",ENSG00000006712.14
Q8NEM7,ENSG00000102710,55578,"['SUPT20H', 'C13orf19', 'FAM48A', 'FP757']",ENSG00000102710.19
Q8NFD5,ENSG00000049618,57492,"['ARID1B', 'BAF250B', 'DAN15', 'KIAA1235', 'OSA2']",ENSG00000049618.22
Q8TAQ2,ENSG00000139613,6601,"['SMARCC2', 'BAF170']",ENSG00000139613.11
Q8TEK3,ENSG00000104885,84444,"['DOT1L', 'KIAA1814', 'KMT4']",ENSG00000104885.17
Q8WUB8,ENSG00000130024,55274,"['PHF10', 'BAF45A']",ENSG00000130024.14
Q8WUZ0,ENSG00000099385,9274,['BCL7C'],ENSG00000099385.11
Q8WVC0,ENSG00000166477,123169,"['LEO1', 'RDL']",ENSG00000166477.12
Q8WX92,ENSG00000188986,25920,"['NELFB', 'COBRA1', 'KIAA1182']",ENSG00000188986.6
Q8WYB5,ENSG00000156650,23522,"['KAT6B', 'KIAA0383', 'MORF', 'MOZ2', 'MYST4']",ENSG00000156650.12
Q92759,ENSG00000213780,2968,['GTF2H4'],ENSG00000213780.10
Q92782,ENSG00000011332,8193,"['DPF1', 'BAF45B', 'NEUD4']",ENSG00000011332.19
Q92784,ENSG00000205683,8110,"['DPF3', 'BAF45C', 'CERD4']",ENSG00000205683.11
Q92785,ENSG00000133884,5977,"['DPF2', 'BAF45D', 'REQ', 'UBID4']",ENSG00000133884.9
Q92793,ENSG00000005339,1387,"['CREBBP', 'CBP']",ENSG00000005339.14
Q92794,ENSG00000083168,7994,"['KAT6A', 'MOZ', 'MYST3', 'RUNXBP2', 'ZNF220']",ENSG00000083168.9
Q92830,ENSG00000108773,2648,"['KAT2A', 'GCN5', 'GCN5L2']",ENSG00000108773.10
Q92831,ENSG00000114166,8850,"['KAT2B', 'PCAF']",ENSG00000114166.7
Q92922,ENSG00000173473,6599,"['SMARCC1', 'BAF155']",ENSG00000173473.10
Q92925,ENSG00000108604,6603,"['SMARCD2', 'BAF60B', 'PRO2451']",ENSG00000108604.15
Q92993,ENSG00000172977,10524,"['KAT5', 'HTATIP', 'TIP60']",ENSG00000172977.12
Q93074,ENSG00000184634,9968,"['MED12', 'ARC240', 'CAGH45', 'HOPA', 'KIAA0192', 'TNRC11', 'TRAP230']",ENSG00000184634.15
Q969G3,ENSG00000073584,6605,"['SMARCE1', 'BAF57']",ENSG00000073584.18
Q96BN2,ENSG00000152382,117143,"['TADA1', 'TADA1L']",ENSG00000152382.5
Q96CB8,ENSG00000138785,57117,"['INTS12', 'PHF22', 'SBBI22']",ENSG00000138785.14
Q96ES7,ENSG00000176476,112869,"['SGF29', 'CCDC101']",ENSG00000176476.8
Q96G25,ENSG00000159479,112950,['MED8'],ENSG00000159479.16
Q96GM5,ENSG00000066117,6602,"['SMARCD1', 'BAF60A']",ENSG00000066117.14
Q96HR3,ENSG00000164758,90390,"['MED30', 'THRAP6', 'TRAP25']",ENSG00000164758.7
Q96HW7,ENSG00000149262,92105,"['INTS4', 'MSTP093']",ENSG00000149262.16
Q96L91,ENSG00000183495,57634,"['EP400', 'CAGH32', 'KIAA1498', 'KIAA1818', 'TNRC12']",ENSG00000183495.13
Q96RN5,ENSG00000099917,51586,"['MED15', 'ARC105', 'CTG7A', 'PCQAP', 'TIG1', 'TNRC7']",ENSG00000099917.17
Q9BQE9,ENSG00000106635,9275,['BCL7B'],ENSG00000106635.7
Q9BTT4,ENSG00000133398,84246,"['MED10', 'L6', 'TRG17', 'TRG20']",ENSG00000133398.3
Q9BUE0,ENSG00000130772,54797,['MED18'],ENSG00000130772.13
Q9BWJ5,ENSG00000169976,83443,"['SF3B5', 'SF3B10']",ENSG00000169976.6
Q9BWU1,ENSG00000155111,23097,"['CDK19', 'CDC2L6', 'CDK11', 'KIAA1028']",ENSG00000155111.14
Q9C005,ENSG00000162961,84661,['DPY30'],ENSG00000162961.13
Q9C086,ENSG00000115274,83444,"['INO80B', 'HMGA1L4', 'PAPA1', 'ZNHIT4']",ENSG00000115274.14
Q9C0K0,ENSG00000127152,64919,"['BCL11B', 'CTIP2', 'RIT1']",ENSG00000127152.17
Q9GZS3,ENSG00000140395,80349,"['SKIC8', 'WDR61']",ENSG00000140395.8
Q9H0H0,ENSG00000108506,57508,"['INTS2', 'KIAA1287']",ENSG00000108506.11
Q9H165,ENSG00000119866,53335,"['BCL11A', 'CTIP1', 'EVI9', 'KIAA1809', 'ZNF856']",ENSG00000119866.20
Q9H204,ENSG00000118579,80306,"['MED28', 'EG1', 'FKSG20']",ENSG00000118579.12
Q9H3P2,ENSG00000185049,7469,"['NELFA', 'WHSC2', 'P/OKcl.15']",ENSG00000185049.14
Q9H4L7,ENSG00000163104,56916,"['SMARCAD1', 'KIAA1122']",ENSG00000163104.17
Q9H7Z6,ENSG00000103510,84148,"['KAT8', 'MOF', 'MYST1', 'PP7073']",ENSG00000103510.19
Q9H8M2,ENSG00000028310,65980,"['BRD9', 'UNQ3040/PRO9856']",ENSG00000028310.17
Q9H944,ENSG00000124641,9477,"['MED20', 'TRFP']",ENSG00000124641.15
Q9HBM6,ENSG00000187325,51616,"['TAF9B', 'TAF9L']",ENSG00000187325.4
Q9NPA8,ENSG00000120533,56943,"['ENY2', 'DC6']",ENSG00000120533.12
Q9NPJ6,ENSG00000136146,29079,"['MED4', 'ARC36', 'DRIP36', 'VDRIP', 'HSPC126']",ENSG00000136146.14
Q9NV88,ENSG00000104299,55756,"['INTS9', 'RC74']",ENSG00000104299.14
Q9NVC6,ENSG00000042429,9440,"['MED17', 'ARC77', 'CRSP6', 'DRIP77', 'DRIP80', 'TRAP80']",ENSG00000042429.11
Q9NVH2,ENSG00000143493,25896,"['INTS7', 'C1orf73']",ENSG00000143493.12
Q9NVR2,ENSG00000104613,55174,"['INTS10', 'C8orf35']",ENSG00000104613.11
Q9NWA0,ENSG00000141026,55090,"['MED9', 'MED25']",ENSG00000141026.5
Q9NX70,ENSG00000063322,55588,"['MED29', 'IXL']",ENSG00000063322.13
Q9NYV4,ENSG00000167258,51755,"['CDK12', 'CRK7', 'CRKRS', 'KIAA0904']",ENSG00000167258.13
Q9P086,ENSG00000161920,400569,"['MED11', 'HSPC296']",ENSG00000161920.9
Q9P0U4,ENSG00000154832,30827,"['CXXC1', 'CFP1', 'CGBP', 'PCCX1', 'PHF18']",ENSG00000154832.14
Q9UBL3,ENSG00000129691,9070,"['ASH2L', 'ASH2L1']",ENSG00000129691.15
Q9UHB7,ENSG00000072364,27125,"['AFF4', 'AF5Q31', 'MCEF', 'HSPC092']",ENSG00000072364.12
Q9UHV7,ENSG00000108510,9969,"['MED13', 'ARC250', 'KIAA0593', 'THRAP1', 'TRAP240']",ENSG00000108510.9
Q9ULK4,ENSG00000112282,9439,"['MED23', 'ARC130', 'CRSP3', 'DRIP130', 'KIAA1216', 'SUR2']",ENSG00000112282.17
