,0
1392,MEF2A
1393,MEF2B
1394,MEF2C
1395,MEF2D
1396,SRF
1397,BAZ2B
1398,MBD2
1399,MBD3
1400,MBD4
1401,MBD6
1402,PIN1
1403,SETDB1
1404,SETDB2
1405,BAZ2A
1406,MECP2
1407,MBD1
1408,MTERF1
1409,MTERF2
1410,MTERF3
1411,MTERF4
1412,CDC5L
1413,DMTF1
1414,MSANTD4
1415,MYB
1416,MYBL1
1417,MYBL2
1418,MYPOP
1419,MYSM1
1420,SNAPC4
1421,TERB1
1422,TERF1
1423,TERF2
1424,TTF1
1425,ZZZ3
1426,MYRF
1427,MYRFL
1428,NFX1
1429,NFXL1
1430,AR
1431,ESR1
1432,ESR2
1433,ESRRA
1434,ESRRB
1435,ESRRG
1436,HNF4A
1437,HNF4G
1438,NR0B1
1439,NR1D1
1440,NR1D2
1441,NR1H2
1442,NR1H3
1443,NR1H4
1444,NR1I2
1445,NR1I3
1446,NR2C1
1447,NR2C2
1448,NR2E1
1449,NR2E3
1450,NR2F1
1451,NR2F2
1452,NR2F6
1453,NR3C1
1454,NR3C2
1455,NR4A1
1456,NR4A2
1457,NR4A3
1458,NR5A1
1459,NR5A2
1460,NR6A1
1461,PGR
1462,PPARA
1463,PPARD
1464,PPARG
1465,RARA
1466,RARB
1467,RARG
1468,RORA
1469,RORB
1470,RORC
1471,RXRA
1472,RXRB
1473,RXRG
1474,THRA
1475,THRB
1476,VDR
1477,AEBP1
1478,ARHGAP35
1479,BPTF
1480,BRF2
1481,CARF
1482,CC2D1A
1483,CEBPZ
1484,CENPA
1485,CENPS
1486,CENPT
1487,CENPX
1488,CGGBP1
1489,CHCHD3
1490,CPEB1
1491,CSRNP1
1492,CSRNP2
1493,CSRNP3
1494,DACH1
1495,DACH2
1496,DR1
1497,DRAP1
1498,GLMP
1499,GPBP1
1500,GPBP1L1
1501,GTF2B
1502,KCNIP3
1503,LTF
1504,MTF2
1505,NACC2
1506,NFE4
1507,NFYB
1508,NFYC
1509,NKRF
1510,NME2
1511,NRF1
1512,PA2G4
1513,PCGF2
1514,PCGF6
1515,PHF1
1516,PHF19 
1517,PLSCR1
1518,POU2AF1
1519,PREB
1520,PURA
1521,PURB
1522,PURG
1523,RAG1
1524,RBCK1
1525,REXO4
1526,SAFB
1527,SAFB2
1528,SCMH1
1529,SKI
1530,SKIL
1531,SKOR1
1532,SMYD3
1533,SNAPC2
1534,SNAPC5
1535,SON
1536,SPEN
1537,SPZ1
1538,TCF20
1539,TET2
1540,THYN1
1541,TMF1
1542,TOPORS
1543,TSC22D1
1544,XPA
1545,TP53
1546,TP63
1547,TP73
1548,PAX1
1549,PAX5
1550,PAX8
1551,PAX9
1552,LCOR
1553,LCORL
1554,PROX1
1555,PROX2
1556,NFAT5
1557,NFATC1
1558,NFATC2
1559,NFATC3
1560,NFATC4
1561,NFKB1
1562,NFKB2
1563,REL
1564,RELA
1565,RELB
1566,RFX1
1567,RFX2
1568,RFX3
1569,RFX4
1570,RFX5
1571,RFX6
1572,RFX7
1573,RFX8
1574,RUNX1
1575,RUNX2
1576,RUNX3
1577,AIRE
1578,DEAF1
1579,GMEB1
1580,GMEB2
1581,SKOR2
1582,SP100
1583,SP110
1584,SP140
1585,SP140L
1586,NFIA
1587,NFIB
1588,NFIC
1589,NFIX
1590,SMAD1
1591,SMAD3
1592,SMAD4
1593,SMAD5
1594,SMAD9
1595,STAT1
1596,STAT2
1597,STAT3
1598,STAT4
1599,STAT5A
1600,STAT5B
1601,STAT6
1602,EOMES
1603,MGA
1604,T
1605,TBR1
1606,TBX1
1607,TBX10
1608,TBX15
1609,TBX18
1610,TBX19
1611,TBX2
1612,TBX20
1613,TBX21
1614,TBX22
1615,TBX3
1616,TBX4
1617,TBX5
1618,TBX6
1619,TBP
1620,TBPL1
1621,TBPL2
1622,LIN54
1623,TEAD1
1624,TEAD2
1625,TEAD3
1626,TEAD4
1627,THAP1
1628,THAP10
1629,THAP11
1630,THAP12
1631,THAP2
1632,THAP3
1633,THAP4
1634,THAP5
1635,THAP6
1636,THAP7
1637,THAP8
1638,THAP9
1639,Q6UWZ7
1640,Q8IUX7
1641,Q8WYP5
1642,P35869
1645,O43918
1646,O43823
1647,Q9ULX6
1648,Q15699
1649,O95076
1651,O00213
1652,O95704
1653,Q8WW27
1654,P10275
1656,A6NJG6
1657,Q03989
1658,P27540
1659,Q9HBZ2
1660,O00327
1661,Q96QS3
1662,Q76L83
1663,Q9C0F0
1664,Q96QE3
1665,P15336
1666,P18847
1667,P18848
1668,Q9Y2D1
1669,Q99941
1670,P18850
1671,P17544-1
1672,P17544
1673,O43313
1674,A0A087WXG3
1675,Q8WYA1
1676,P25440
1677,Q15059
1678,O60885
1679,Q9NPI1
1680,Q9H0E9
1681,Q6RI45
1682,Q3C1V8
1683,P35222
1684,Q6P1N0
1685,Q9Y6Y1
1687,O94983
1689,Q86V15
1690,Q99741
1691,Q9BXL8
1692,Q00526
1693,P47902
1694,Q99626
1695,O14627
1696,P49715
1697,P17676
1698,P49716
1699,Q15744
1701,Q86WJ1
1702,O14647
1703,Q8TD26
1704,Q3L8U1
1705,O96017
1706,Q99966
