Variant_ID,BRD7,P300,P300 KIX,P300 NCBD,P300 TAZ1,P300 TAZ2,TFIID TAF12,PCAF TAF6L
MLXIP;28,22369.42,8561.02,100569.66,59249.49,40347.24,22230.69,73676.16,10811.82
MLXIPL;29,24489.17,9240.08,100569.66,88602.08,53489.15,28657.53,73676.16,10811.82
MSL2;10,24489.17,18465.69,100569.66,88602.08,,30074.18,73676.16,
MTERF3;8,4762.07,18465.69,100569.66,73810.20,30877.74,22471.30,73676.16,10811.82
MYB-mEGFP,23230.04,1157.68,,,,,73676.16,10811.82
MYB;24,24489.17,,,77872.14,36781.20,15108.06,73676.16,10811.82
MYB;25,24489.17,839.65,1898.86,81879.20,53489.15,33019.13,73676.16,10811.82
MYB;28,22410.71,1592.73,19040.26,67901.09,52153.98,21679.00,11830.75,10811.82
MYBL1;20,24489.17,1073.41,2952.21,88602.08,46650.67,19242.65,62205.88,10811.82
MYBL1;21,24489.17,674.05,1385.65,88166.95,41613.36,32087.16,73676.16,10811.82
MYBL1;31,24489.17,3099.10,100569.66,78777.94,40946.95,16341.96,73676.16,10811.82
MYBL2;39,24489.17,11457.59,100569.66,79629.24,53489.15,14399.59,73676.16,10811.82
MYBL2;41,24489.17,18200.32,92329.96,87788.01,53489.15,13505.68,73676.16,10811.82
MYC;7,24489.17,18465.69,,,,,73676.16,10811.82
MYCL;0,24489.17,13318.10,100569.66,65384.35,46473.22,46358.97,73676.16,10811.82
MYCN;5,24489.17,,,70300.92,38084.29,22298.44,,
MYOD1;0,24489.17,4755.69,100569.66,73277.05,33651.84,5041.03,73676.16,10811.82
MYT1L;31,24489.17,18465.69,100569.66,88602.08,53489.15,41118.97,73676.16,10811.82
NANOG;17,20959.38,6249.96,87794.79,88602.08,48574.68,11287.57,73676.16,10811.82
NANOGP8;21,24489.17,16508.29,100569.66,62458.93,38835.89,19022.50,73676.16,10811.82
NCOA2;101,24489.17,8463.32,77788.09,52365.80,50308.87,,73676.16,10811.82
NCOA2;105,24489.17,606.14,,5674.89,53489.15,4470.31,73676.16,10811.82
NCOA3;100,24489.17,551.88,100569.66,8707.01,42219.90,46358.97,73676.16,10811.82
NEK9;44,24489.17,18465.69,100569.66,88602.08,40410.45,21301.50,73676.16,10811.82
NEUROG3;14,24489.17,18465.69,100569.66,76255.68,53489.15,12452.39,73676.16,10811.82
NFATC2;0,,,,63991.13,53489.15,,11136.30,10811.82
NFE2L1;26,24489.17,313.79,,54683.84,46687.63,,73676.16,10811.82
NFE2L1;30,24489.17,809.89,4266.91,78106.89,45719.47,27225.07,73676.16,10811.82
NFE2L2;21,24489.17,15638.04,100569.66,68416.85,36730.51,10068.66,73676.16,10811.82
NFE2L2;8,21316.26,5573.63,100569.66,83242.84,46276.19,15047.32,73676.16,10811.82
NFE2L3;33,22518.99,823.34,100569.66,66195.08,28321.40,11638.57,73676.16,10811.82
NFKB1;74,24489.17,5975.58,,,53489.15,,73676.16,10811.82
NFRKB;0,23728.43,4451.49,100569.66,60644.07,29176.11,,73676.16,10811.82
NOBOX;43,24489.17,18465.69,100569.66,74291.53,53489.15,27052.44,73676.16,10811.82
NPAS4;70,24489.17,5252.46,78599.95,83480.21,46093.69,10666.77,73676.16,10811.82
NR3C1;17,24232.31,6965.53,100569.66,76399.17,49283.83,21878.48,73676.16,10811.82
NR4A1;10,24489.17,10815.74,100569.66,88602.08,50432.88,17307.81,73676.16,10811.82
NR4A1;3,24489.17,15492.28,,60751.51,49185.06,,73676.16,10811.82
PADI2;34,24489.17,7241.62,100569.66,88602.08,53489.15,46358.97,73676.16,10811.82
PAGR1;6,24489.17,13597.81,,66096.21,45325.76,,73676.16,10811.82
PARP3;25,24489.17,1225.64,5203.61,78003.36,46185.80,36244.32,73676.16,10811.82
PHIP;109,24489.17,1601.53,,88602.08,49189.95,9305.67,73676.16,10811.82
PHOX2A;0,24489.17,13505.26,100569.66,,,46358.97,73676.16,
PLAG1;35,11915.73,3871.15,100569.66,88602.08,44759.62,,73676.16,10811.82
PLAGL1;39,24489.17,2920.15,,77824.03,31745.14,46358.97,73676.16,10811.82
POU2AF1;7,24489.17,12907.05,100569.66,86439.03,45790.63,24174.07,73676.16,10811.82
POU5F1B;2,24489.17,18465.69,,62008.04,49956.20,10074.16,73676.16,10811.82
PPARGC1A;2,24489.17,,,63494.42,46663.33,3315.23,73676.16,10811.82
PPARGC1B;8,24489.17,11417.60,100569.66,67028.85,53489.15,46358.97,73676.16,10811.82
PPM1F;1,24489.17,3264.26,,,23971.93,,73676.16,10811.82
PPP2CA;16,24489.17,6087.23,100569.66,88602.08,44887.06,14337.76,73676.16,10811.82
PRKDC;293,24489.17,8449.08,100569.66,73032.20,46289.01,11764.25,73676.16,10811.82
PRMT2;1,24489.17,8189.48,100517.58,88602.08,53489.15,29237.26,73676.16,10811.82
PRMT3;9,24489.17,2468.40,,57380.38,27086.56,13203.15,9315.13,10811.82
PRMT5;39,24489.17,11084.89,100569.66,58698.88,33536.72,8034.19,73676.16,10811.82
PROP1;13,24489.17,18465.69,100569.66,69048.86,41261.60,20759.67,73676.16,10811.82
RAD54L2;131,24374.71,18465.69,87010.42,65798.24,53489.15,46358.97,73676.16,10811.82
RELA;47,15176.75,4694.81,100569.66,49094.16,42674.83,19046.14,73676.16,10811.82
RELB;45,24489.17,5529.98,,63255.89,29801.15,9010.88,73676.16,10811.82
RFX7;86,24489.17,3719.81,77930.74,62582.04,37341.31,15197.99,73676.16,10811.82
Random_control;778,13327.12,4738.75,100569.66,63690.38,49723.19,18366.25,73676.16,10811.82
Random_control;810,24489.17,18465.69,100569.66,88602.08,53489.15,22100.97,73676.16,10811.82
SETD1A;0,15424.34,2549.59,49512.87,77312.93,53489.15,25313.44,73676.16,10811.82
SETD1B;1,19631.61,4138.82,100569.66,88602.08,53489.15,33572.24,50988.86,10811.82
SMARCA2;111,24489.17,,,,50929.36,,73676.16,10811.82
SMARCA2;16,632.34,9831.30,100569.66,81266.82,53489.15,31427.05,7742.27,10811.82
SMARCA4;14,1166.54,9218.45,,,23545.41,,73676.16,10811.82
SMARCC1;62,24489.17,752.52,100569.66,46517.76,32708.80,19599.35,69285.40,10811.82
SMARCC2;58,18957.06,1499.74,94499.25,51521.65,34205.15,15562.42,73676.16,10811.82
SOX11;36,24489.17,3751.38,100569.66,83891.23,28751.36,4059.96,73676.16,10811.82
SOX2;15,18687.85,16523.92,100569.66,57191.38,44287.60,46358.97,,10811.82
SOX7;27,24489.17,870.51,,62958.87,,,73676.16,
SOX8;24,19411.67,570.37,,74536.48,13967.80,,73676.16,10811.82
SP6;9,24489.17,5153.35,100569.66,65541.45,25077.20,17707.42,8128.18,10811.82
SP9;15,18653.76,6322.08,100569.66,61980.99,50458.81,46358.97,73676.16,10811.82
SPI1;0,24489.17,2449.04,100569.66,88602.08,21601.83,9944.22,73676.16,10811.82
SREBF1;2,15188.93,1653.61,62394.95,46776.75,47030.36,46358.97,73676.16,10811.82
SREBF2;0,24489.17,1970.84,,70272.08,32082.39,4141.45,73676.16,
STAT6;77,20584.14,10315.30,100569.66,72672.27,53489.15,19930.85,47439.33,10811.82
TADA2A;11,21652.97,3701.88,100569.66,68434.39,38354.92,21859.97,41371.06,10811.82
TAF1L;47,24489.17,758.36,100569.66,88602.08,53489.15,13917.37,73676.16,10811.82
TAF6L;37,24489.17,2002.25,53582.13,31167.54,47425.83,8041.86,73676.16,10811.82
TBX4;38,24489.17,11143.47,100569.66,54354.02,53489.15,,73676.16,10811.82
TEF;7,24489.17,1017.31,36019.87,73310.18,26540.37,18203.84,73676.16,10811.82
TET2;161,24489.17,14656.63,100569.66,81299.95,53251.66,45969.59,73676.16,10811.82
